D-00253,Q96KQ7
D-00253,Q96RJ0
D-00253,Q9H3N8
D-00253,Q9Y5N1
D-00260,P29475
D-00260,P35228
D-00261,P29474
D-00261,P29475
D-00261,P35228
D-00262,P29474
D-00262,P29475
D-00262,P35228
D-00263,P29475
D-00263,P35228
D-00264,P29474
D-00264,P29475
D-00264,P35228
D-00273,P07477
D-00276,A8MPY1
D-00276,P0DMS8
D-00276,P14867
D-00276,P24046
D-00276,P28476
D-00276,P31644
D-00276,P34903
D-00276,P47869
D-00276,Q16445
D-00277,P32929
D-00285,P29474
D-00285,P29475
D-00285,P35228
D-00287,P29475
D-00292,P24046
D-00297,P35372
D-00309,P27695
D-00313,P29474
D-00313,P29475
D-00313,P35228
D-00314,O43570
D-00314,P07451
D-00314,P22748
D-00314,P23280
D-00314,P35218
D-00314,P43166
D-00314,Q16790
D-00314,Q9ULX7
D-00314,Q9Y2D0
D-00328,P22748
D-00328,P23280
D-00334,Q96KQ7
D-00335,Q9GZT9
D-00342,P07900
D-00348,P29475
D-00350,P30520
D-00357,O43570
D-00357,P00918
D-00357,P07451
D-00366,P00734
D-00366,P00742
D-00366,P00747
D-00366,P00749
D-00375,P11509
D-00375,Q96RJ0
D-00378,O75608
D-00378,O95372
D-00378,P00915
D-00378,P00918
D-00378,P22748
D-00378,P23280
D-00378,P43166
D-00382,P14920
D-00383,P09172
D-00384,Q8IXJ6
D-00384,Q9NTG7
D-00387,Q96RJ0
D-00389,P29474
D-00389,P29475
D-00389,P35228
D-00390,P35367
D-00393,Q8TDS4
D-00401,P25021
D-00401,P35367
D-00401,Q9H3N8
D-00401,Q9Y5N1
D-00402,P24046
D-00407,P00918
D-00413,P29474
D-00413,P35228
D-00414,P29475
D-00415,P29474
D-00415,P29475
D-00415,P35228
D-00416,P29475
D-00417,P14902
D-00419,O75469
D-00419,O75496
D-00419,P00352
D-00419,Q96KQ7
D-00420,P40225
D-00420,Q96KQ7
D-00424,P07477
D-00427,Q9H3N8
D-00427,Q9Y5N1
D-00428,P25105
D-00428,Q9H3N8
D-00428,Q9Y5N1
D-00429,P25021
D-00429,Q9H3N8
D-00429,Q9Y5N1
D-00430,Q96KQ7
D-00437,P00352
D-00437,P00533
D-00437,P00915
D-00437,P00918
D-00437,P03372
D-00437,P06241
D-00437,P15428
